speech_id,file,year,sentence,negative,neutral,positive,compound score
1,1951-12-01_1,1951,"Lastly, some indication must be given to the reply the organisation must make to the situation having regard to the preceding analyses.",0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,I have  it said that Dr. Nkrumah addresses conferences for five hours.,0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,I do not intend to break his record.,0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,They are pledged to carve their destiny and not to leave it in the hands of tiny ruling circles   or classes.,0.0,0.946,0.054,0.0382
1,1951-12-01_1,1951,"Whilst the dark and sinister forces in the world are organising a desperate and last minute fight to defend a decadent and bankrupt civilisation, the common people, full of confidence and buoyant hope, struggle for the creation of a new, united, and prosperous human family.",0.238,0.502,0.261,0.1027
1,1951-12-01_1,1951,"In Africa the colonial powers   Great Britain, Portugal, France, Italy, Spain, and their servitors in South Africa   are attempting with the help of the notorious American ruling class to maintain colonial rule and oppression.",0.15,0.693,0.157,0.0772
1,1951-12-01_1,1951,"It is important for us and for the African people as a whole to realise that but for the support of American finance it would have been difficult if not impossible for the Western colonial powers to maintain rule in Africa, nor indeed anywhere in the world.",0.063,0.84,0.097,0.1779
1,1951-12-01_1,1951,in Nigeria are leading to a similar situation.,0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,The plans of the Broederbond to set up an openly police state have so far almost run to schedule.,0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,"The financial lords are destroying the farmer group, and instead we have huge semi industrial estates and plantations through which the big money power seeks to extend its monopoly of economic South Africa to the agricultural sphere.",0.087,0.817,0.096,-0.1531
1,1951-12-01_1,1951,It was thought that this clash might result in a realignment of forces that might be advantageous to the oppressed people in the country.,0.117,0.789,0.094,-0.1531
1,1951-12-01_1,1951,But it is becoming clear that there is no possibility of  clash between such groups.,0.146,0.677,0.177,0.1531
1,1951-12-01_1,1951,"There is no chance that Sir Ernest Oppenheimer, the leading mining magnate, will clash with Harry Oppenheimer, the leading industrialist.",0.099,0.811,0.09,-0.0516
1,1951-12-01_1,1951,It is true that in the rank and file of the white parties are a number who whilst they support the maintenance of colour as an instrument of white political and economic supremacy are scared of a naked Hitlerite regime which might later turn out to be a danger to themselves; hence movements like the now thoroughly discredited Torch Commando.,0.134,0.679,0.187,0.1796
1,1951-12-01_1,1951,The possibility of a liberal capitalist democracy in S.A.,0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,extremely nil.,0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,The commandos are the nucleus of a future Gestapo.,0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,"True to the pattern depicted for the rest of the imperialist world, South African capitalism has developed  monopolism and is now reaching the final stage of monopoly capitalism gone mad, namely, fascism.",0.087,0.788,0.125,0.1027
1,1951-12-01_1,1951,The labour power of the African people is a force which when fully tapped is going to sweep the people to power in the land of their birth.,0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,"In the Congress Youth League, African nationalism found new form and was made concrete and crystallised.",0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,It is said that there are various brands of African nationalism.,0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,"It is, however, when we seek to apply our creed to concrete situations that there are revealed different approaches.",0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,This was made clear during the three struggles of the past two years.,0.155,0.683,0.161,0.0258
1,1951-12-01_1,1951,"I refer to campaigns of May 1st, June 26th, and May 7th this year.",0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,"Owing to differences that developed regarding them, there is a tendency to think that these campaigns revealed differences in our concept of African nationalism.",0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,We learned that always a true fighter must be on the side of the people against the oppressor.,0.14,0.654,0.206,0.1027
1,1951-12-01_1,1951,Today politics has become the affairs of a professional revolutionary.,0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,"Sons and daughters of Africa, I do not think we differ concerning our ideas of the aims of African nationalism in Africa.",0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,In any case the very nature of  national movement to which we belong makes it impossible to expect  absolutely identical approach.,0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,The very nature of the national struggle and the manner of its organisations make it impossible to achieve what is perhaps possible to achieve in a party.,0.079,0.828,0.093,0.1027
1,1951-12-01_1,1951,Our duty is now how to carry that ideology fully to the masses.,0.0,1.0,0.0,0.0
1,1951-12-01_1,1951,In accordance with this policy it has called upon other national organisations to fall in line with this programme.,0.0,1.0,0.0,0.0
