speech_id,file,year,sentence,negative,neutral,positive,compound score
1,1951-12-01_1,1951,Then included must be the review of the organisational strength and power of the movement and the progress it has made in its efforts to carry the people to victory.,0.0,0.75,0.25,0.8402
1,1951-12-01_1,1951,", we must never forget the indirect enemy, the infinitely more dangerous enemy who sustains all those with loans, capital, and arms.",0.358,0.585,0.057,-0.8666
1,1951-12-01_1,1951,The Nationalist party represents farming interests and the growing Afrikaner commercial interest.,0.0,0.46,0.54,0.8126
1,1951-12-01_1,1951,At one time it was thought that the development of a powerful industrialist class would produce a clash involving the primitive feudal capitalist farming and mining interest on the one hand and the industrialist on the other.,0.043,0.742,0.215,0.802
1,1951-12-01_1,1951,"It is quite conceivable that all their interests find the fascist policy of Malan suitable, as it will enable them to continue their bankrupt role by crushing the tribal union movement and the national movements of the people.",0.212,0.744,0.044,-0.8271
1,1951-12-01_1,1951,"But the spirit of the people cannot be crushed, and no matter what happens to the present leadership, new leaders will arise like mushrooms till full victory is won.",0.065,0.508,0.427,0.9403
1,1951-12-01_1,1951,"As the guardian of African nationalism, the Congress Youth League and, to a lesser extent, the senior Congress are undoubtedly the greatest hope that the African people, and indeed all oppressed people, have that they will ever live in a free, independent, united, democratic, and a prosperous South Africa.",0.052,0.673,0.274,0.9217
1,1951-12-01_1,1951,We learned in those struggles that the face of a liberatory movement must always be turned against the main enemy   fight fascism.,0.323,0.677,0.0,-0.8225
1,1951-12-01_1,1951,"In this context we have to examine various tactics and weapons in our struggle, including boycott, civil disobedience, and strikes.",0.385,0.615,0.0,-0.8402
2,1953-08-23_2,1953,The rise of the national liberation movements in Asia and the Pacific Regions and the loss of these vast countries as war bases and centres for investment has forced the imperial powers to turn their eyes on Africa.,0.208,0.792,0.0,-0.8481
2,1953-08-23_2,1953,"Being without any strong trade union movement, the people of Africa are exposed to the most vicious and cruel forms of colonial exploitation.",0.364,0.636,0.0,-0.8708
2,1953-08-23_2,1953,It is this situation that makes the danger of war in Africa very real and close.,0.343,0.657,0.0,-0.8074
2,1953-08-23_2,1953,Africa has now become a war base for the imperial powers in their war preparations and for their schemes of world domination.,0.333,0.667,0.0,-0.8402
2,1953-08-23_2,1953,"This is the true explanation of the bitter conflict in Kenya between imperial Britain, whose aim is to rob those people of their country and land, and the Kenya people who are fighting to save their land and country from being transformed into a military base to attack other people.",0.23,0.674,0.096,-0.8074
2,1953-08-23_2,1953,Victims of a Future War   The people of Africa will be the first victims of a future war.,0.508,0.492,0.0,-0.9081
2,1953-08-23_2,1953,The war danger in Africa is very close indeed.,0.51,0.49,0.0,-0.8074
3,1953-09-21_3,1953,"Since 1912 and year after year thereafter, in their homes and local areas, in provincial and national gatherings, on trains and buses, in the factories and on the farms, in cities, villages, shanty towns, schools and prisons, the African people have discussed the shameful misdeeds of those who rule the country.",0.146,0.854,0.0,-0.802
3,1953-09-21_3,1953,"Year after year, they have raised their voices in condemnation of the grinding poverty of the people, the low wages, the acute shortage of land, the inhuman exploitation and the whole policy of white domination.",0.292,0.708,0.0,-0.886
3,1953-09-21_3,1953,The entire country was transformed into battle zones where the forces of liberation were locked up in immortal conflict against those of reaction and evil.,0.288,0.65,0.062,-0.8074
3,1953-09-21_3,1953,"Between July last year and August this year forty seven leading members from both Congresses in Johannesburg, Port Elizabeth and Kimberley were arrested, tried and convicted for launching the Defiance Campaign and given suspended sentences ranging from three months to two years on condition that they did not again participate in the defiance of the unjust laws.",0.184,0.798,0.018,-0.8957
3,1953-09-21_3,1953,"Almost simultaneously, the Criminal Laws Amendment Act was passed which provided heavy penalties for those convicted of Defiance offences.",0.401,0.599,0.0,-0.8417
3,1953-09-21_3,1953,"Early this year, the President General, Chief Luthuli, whilst in the midst of a national tour which he was prosecuting with remarkable energy and devotion, was prohibited for a period of twelve months from attending public gatherings and from visiting Durban, Johannesburg, Cape Town, Port Elizabeth and many other centres.",0.0,0.838,0.162,0.8271
3,1953-09-21_3,1953,To have gone ahead blindly as if nothing had happened would have been suicidal and stupid.,0.361,0.639,0.0,-0.836
3,1953-09-21_3,1953,"The authorities will not easily permit a meeting called under the auspices of the ANC, few newspapers will publish statements openly criticising the policies of the Government and there is hardly a single printing press which will agree to print leaflets calling upon workers to embark on industrial action for fear of prosecution under the Suppression of Communism Act and similar measures.",0.194,0.77,0.036,-0.8789
3,1953-09-21_3,1953,"They are denied the right to security in the event of unemployment, sickness, disability, old age and where these exist, they are of an extremely inferior and useless nature.",0.369,0.571,0.06,-0.9092
3,1953-09-21_3,1953,"Because of lack of proper medical amenities our people are ravaged by such dreaded diseases as tuberculosis, venereal disease, leprosy, pellagra, and infantile mortality is very high.",0.343,0.657,0.0,-0.9001
3,1953-09-21_3,1953,"The insane policies of the Government which have brought about an explosive situation in the country have definitely scared away foreign capital from South Africa and the financial crisis through which the country is now passing is forcing many industrial and business concerns to close down, to retrench their staffs and unemployment is growing every day.",0.188,0.746,0.066,-0.8481
