speech_id,file,year,sentence,negative,positive,sum positive/negative
1,1951-12-01_1,1951,"Quite clearly it is not possible to do justice to all these, and yet a presidential address in which anyone of them is missing is not worthy of the name.",0.128,0.178,0.306
1,1951-12-01_1,1951,"On the one hand are those groups, parties, or persons that are prepared to go to war in defence of colonialism, imperialism, and their profits.",0.111,0.346,0.45699999999999996
1,1951-12-01_1,1951,"Knowing that a frightened world cannot think clearly, these groups attempt to create conditions under which the common men might be inveigled into supporting the building of more and more atomic bombs, bacteriological weapons, and other instruments of mass destruction.",0.236,0.1,0.33599999999999997
1,1951-12-01_1,1951,These crazy men whose prototype is to be found at the head of the trusts and cartels of America and Western Europe do not realise that they will suffer the destruction that they are contemplating for their innocent fellow beings.,0.192,0.11,0.302
1,1951-12-01_1,1951,But they are desperate and become more so as they realise the determination of the common men to preserve peace.,0.104,0.294,0.39799999999999996
1,1951-12-01_1,1951,"Yes, the common man who for generations has been the tool of insane politicians and governments, who has suffered privations and sorrow in wars that were of profit to tiny privileged groups, is today rising from being the object of history  becoming the subject of history.",0.214,0.141,0.355
1,1951-12-01_1,1951,"Whilst the dark and sinister forces in the world are organising a desperate and last minute fight to defend a decadent and bankrupt civilisation, the common people, full of confidence and buoyant hope, struggle for the creation of a new, united, and prosperous human family.",0.238,0.261,0.499
1,1951-12-01_1,1951,"In Africa the colonial powers   Great Britain, Portugal, France, Italy, Spain, and their servitors in South Africa   are attempting with the help of the notorious American ruling class to maintain colonial rule and oppression.",0.15,0.157,0.307
1,1951-12-01_1,1951,"In thinking of the direct enemies of the African people, namely, Great Britain, Spain, France, Portugal, Italy and S.A.",0.132,0.169,0.30100000000000005
1,1951-12-01_1,1951,", we must never forget the indirect enemy, the infinitely more dangerous enemy who sustains all those with loans, capital, and arms.",0.358,0.057,0.415
1,1951-12-01_1,1951,"In Egypt the heroic struggle is being waged which must receive the support of all genuine anti imperialist forces, albeit with certain reservations.",0.148,0.271,0.41900000000000004
1,1951-12-01_1,1951,"What the rulers have reaped instead is a rejection of partnership, trusteeship, and white leadership and a clear demand for self determination and independence.",0.174,0.236,0.41
