speech_id,file,year,sentence,negative,positive,sum positive/negative
1,1951-12-01_1,1951,"Lastly, some indication must be given to the reply the organisation must make to the situation having regard to the preceding analyses.",0.0,0.0,0.0
1,1951-12-01_1,1951,I have  it said that Dr. Nkrumah addresses conferences for five hours.,0.0,0.0,0.0
1,1951-12-01_1,1951,I do not intend to break his record.,0.0,0.0,0.0
1,1951-12-01_1,1951,They are pledged to carve their destiny and not to leave it in the hands of tiny ruling circles   or classes.,0.0,0.054,0.054
1,1951-12-01_1,1951,Millions of pounds are pouring into the continent in the form of capital for the exploitation of our resources in the sole interests of the imperialist powers.,0.0,0.071,0.071
1,1951-12-01_1,1951,So called geological and archaeological expeditions are roaming the continent ostensibly engaged in gathering material for the advancement of science and the furtherance of humanity but being in reality the advance guard of American penetration.,0.0,0.052,0.052
1,1951-12-01_1,1951,in Nigeria are leading to a similar situation.,0.0,0.0,0.0
1,1951-12-01_1,1951,In Uganda the leaders of the Bataka Association who were condemned to fourteen years of imprisonment have had to be released as a result of the attitude of the masses.,0.094,0.0,0.094
1,1951-12-01_1,1951,The plans of the Broederbond to set up an openly police state have so far almost run to schedule.,0.0,0.0,0.0
1,1951-12-01_1,1951,The possibility of a liberal capitalist democracy in S.A.,0.0,0.0,0.0
1,1951-12-01_1,1951,extremely nil.,0.0,0.0,0.0
1,1951-12-01_1,1951,The commandos are the nucleus of a future Gestapo.,0.0,0.0,0.0
1,1951-12-01_1,1951,The labour power of the African people is a force which when fully tapped is going to sweep the people to power in the land of their birth.,0.0,0.0,0.0
1,1951-12-01_1,1951,"In the Congress Youth League, African nationalism found new form and was made concrete and crystallised.",0.0,0.0,0.0
1,1951-12-01_1,1951,I wish to say emphatically as possible that there is only one African nationalism and that is the African nationalism propounded by the Congress and the Youth League.,0.0,0.094,0.094
1,1951-12-01_1,1951,It is said that there are various brands of African nationalism.,0.0,0.0,0.0
1,1951-12-01_1,1951,"It is, however, when we seek to apply our creed to concrete situations that there are revealed different approaches.",0.0,0.0,0.0
1,1951-12-01_1,1951,"I refer to campaigns of May 1st, June 26th, and May 7th this year.",0.0,0.0,0.0
1,1951-12-01_1,1951,"Owing to differences that developed regarding them, there is a tendency to think that these campaigns revealed differences in our concept of African nationalism.",0.0,0.0,0.0
1,1951-12-01_1,1951,"We learned that when the masses of the people were on the march, even if we had genuine principled objections to the move, we must never be against the mass movement of the people.",0.057,0.0,0.057
1,1951-12-01_1,1951,Today politics has become the affairs of a professional revolutionary.,0.0,0.0,0.0
1,1951-12-01_1,1951,"Sons and daughters of Africa, I do not think we differ concerning our ideas of the aims of African nationalism in Africa.",0.0,0.0,0.0
1,1951-12-01_1,1951,In any case the very nature of  national movement to which we belong makes it impossible to expect  absolutely identical approach.,0.0,0.0,0.0
1,1951-12-01_1,1951,Our duty is now how to carry that ideology fully to the masses.,0.0,0.0,0.0
1,1951-12-01_1,1951,"Firstly, our National Executive of the Senior Congress has called upon the country to rally to  nation wide struggle that will probably begin at this national conference.",0.081,0.0,0.081
1,1951-12-01_1,1951,In accordance with this policy it has called upon other national organisations to fall in line with this programme.,0.0,0.0,0.0
1,1951-12-01_1,1951,Then we have to decide on concrete steps to be taken to deal with the situation that has arisen as a result of the Suppression of Communism Amendment Act.,0.085,0.0,0.085
1,1951-12-01_1,1951,How are we going to react to the liquidation of Congress leaders as  result of this act?,0.0,0.0,0.0
5,1952-08-01_5,1952,We are not in opposition to any government or class of people.,0.0,0.0,0.0
5,1952-08-01_5,1952,We are opposing a system which has for years kept a vast section of the non European people in bondage.,0.0,0.0,0.0
5,1952-08-01_5,1952,At the moment the Campaign is still in its first stage: defiance in Johannesburg and Port Elizabeth.,0.0,0.0,0.0
5,1952-08-01_5,1952,"Soon   perhaps even before you read this   it will move onto the next stage, which will be defiance of the laws in all the big centres of the Union.",0.0,0.0,0.0
5,1952-08-01_5,1952,ANC then lastly it will assume a mass character with defiance spread all over the country; in towns as well as on the platteland.,0.0,0.087,0.087
5,1952-08-01_5,1952,We have sufficient volunteers for the present stage.,0.0,0.0,0.0
5,1952-08-01_5,1952,It reached its peak the week following the beginning of the Campaign on 26 June.,0.0,0.091,0.091
5,1952-08-01_5,1952,The unity between the Africans Indians and coloured people has now become a living reality.,0.0,0.0,0.0
5,1952-08-01_5,1952,Many of them are being trained for behind  the scenes work that is necessary for the smooth running of our plans.,0.0,0.0,0.0
2,1953-08-23_2,1953,"For years now, the capitalist countries have lived on raw materials and cheap labour from Asia and Africa.",0.0,0.0,0.0
2,1953-08-23_2,1953,"Our Continent produces sisal, palm oil, cocoa, coffee and other products.",0.0,0.0,0.0
2,1953-08-23_2,1953,It is in Africa that we have vast supplies of land and cheap labour.,0.0,0.0,0.0
2,1953-08-23_2,1953,"Here the imperial powers of Britain, Belgium, France, Holland, Portugal and Spain have either their chief or their only colonial dependencies.",0.0,0.0,0.0
2,1953-08-23_2,1953,"America has land, sea and air bases in Morocco and Libya.",0.0,0.0,0.0
2,1953-08-23_2,1953,"There are British military bases in Egypt, East Africa, Somaliland and the Sudan.",0.0,0.0,0.0
2,1953-08-23_2,1953,"Kenya is the new centre of Commonwealth defence and South Africa its arsenal "".",0.0,0.097,0.097
3,1953-09-21_3,1953,Today the people speak the language of action: there is a mighty awakening among the men and women of our country and the year 1952 stands out as the year of this upsurge of national consciousness.,0.0,0.0,0.0
3,1953-09-21_3,1953,"Factory and office workers, doctors, lawyers, teachers, students and the clergy; Africans, Coloureds, Indians and Europeans, old and young, all rallied to the national call and defied the pass laws and the curfew and the railway apartheid regulations.",0.0,0.0,0.0
3,1953-09-21_3,1953,"At the end of the year, more than 8,000 people of all races had defied.",0.0,0.0,0.0
3,1953-09-21_3,1953,It was against this background and at the height of this Campaign that we held our last annual provincial Conference in Pretoria from the 10th to the 12th of October last year.,0.0,0.0,0.0
3,1953-09-21_3,1953,Today we meet under totally different conditions.,0.0,0.0,0.0
3,1953-09-21_3,1953,"In November last year, a proclamation was passed which prohibited meetings of more than ten Africans and made it an offence for any person to call upon an African to defy.",0.071,0.0,0.071
3,1953-09-21_3,1953,This Act also made provision for the whipping of defiers including women.,0.0,0.0,0.0
3,1953-09-21_3,1953,"You will remember that in May last year the Government ordered Moses Kotane, Yusuf Dadoo, J. B. Marks, David Bopape and Johnson Ngwevela to resign from the Congresses and many other organisations and were also prohibited from attending political gatherings.",0.058,0.0,0.058
3,1953-09-21_3,1953,"In consequence of these bans, Moses Kotane, J. B. Marks, and David Bopape did not attend our last provincial Conference.",0.0,0.0,0.0
3,1953-09-21_3,1953,"The conditions under which we meet today are, therefore, vastly different.",0.0,0.0,0.0
3,1953-09-21_3,1953,"According to a statement made by Swart in Parliament on the 1 8th September, 1953, there are thirty three trade union officials and eighty nine other people who have been served with notices in terms of the Suppression of Communism Act.",0.062,0.0,0.062
3,1953-09-21_3,1953,The purchasing power of the masses is progressively declining and the cost of living is rocketing.,0.0,0.0,0.0
3,1953-09-21_3,1953,"The cost of milk, meat and vegetables is beyond the pockets of the average family and many of our people cannot afford them.",0.0,0.0,0.0
3,1953-09-21_3,1953,You will perhaps recall the investigations and exposures of the semi slave conditions on the Bethal farms made in 1948 by the Reverend Michael Scott and a Guardian Correspondent; by the Drum last year and the Advance in April this year.,0.093,0.0,0.093
3,1953-09-21_3,1953,"You will recall how human beings, wearing only sacks with holes for their heads and arms, never given enough food to eat, slept on cement floors on cold nights with only their sacks to cover their shivering bodies.",0.0,0.0,0.0
3,1953-09-21_3,1953,These things which have long vanished from many parts of the world still flourish in SA today.,0.0,0.0,0.0
3,1953-09-21_3,1953,The Government has introduced in Parliament the Native Labour  Bill and the Bantu Education Bill.,0.0,0.0,0.0
3,1953-09-21_3,1953,African education would be taken out of the hands of people who taught equality between black and white.,0.0,0.0,0.0
3,1953-09-21_3,1953,"When this Bill becomes law, it will not be the parents but the Department of Native Affairs which will decide whether an African child should receive higher or other education.",0.0,0.0,0.0
3,1953-09-21_3,1953,That parents have the right to choose the kind of education that shall be given to their children.,0.0,0.0,0.0
3,1953-09-21_3,1953,"The attitude of the government to us is that: ""Let's beat them down with guns and batons and trample them under our feet.",0.083,0.0,0.083
