year,term,score
1960,racial,0.6346483072152403
1960,country,0.40219122998299284
1960,victory,0.33261762215586715
1960,towards,0.3062662982373591
1960,bring,0.2985583708668025
1960,years,0.2700698935849846
1960,africans,0.26259353463730756
1960,therefore,0.7416192775621597
1960,violence,0.6708210246766124
1960,party,0.8939961255994211
1960,parties,0.4480746895476511
1960,possible,0.6504465878619167
1960,future,0.5412824215795439
1960,economic,0.5328532409845836
1960,hand,0.924145286341276
1960,anc,0.3820412147049072
1960,political,0.5409576023495075
1960,south,0.3644722471353485
1960,party,0.3220919435495149
1960,south african,0.2969723807560064
1960,rights,0.2969723807560064
1960,anc,0.28671001471145235
1960,african,0.2551217748774947
1960,government,0.24377289944758668
1960,south africa,0.21651972610150771
1960,africa,0.20199176398174581
1960,success,0.5219861207501528
1960,nations,0.5110463937671498
1960,united,0.48482340055992773
1960,apartheid,0.48094526032731205
1960,party,0.6254071832898034
1960,system,0.6035245401021213
1960,democracy,0.49459476805162134
1960,party,0.6254071832898034
1960,system,0.6035245401021213
1960,democracy,0.49459476805162134
1960,still,0.7071067811865475
1960,party,0.7071067811865475
1960,people,0.5254619771995619
1960,death,0.4984323037161857
1960,millions,0.4721608290693736
1960,today,0.37740809802839453
1960,world,0.3317864195002785
