year,term,score
1962,congress,0.5112001136517368
1962,organisation,0.4824744719224742
1962,conference,0.4824744719224742
1962,national,0.37389326243940324
1962,african,0.3651233216204221
1962,africa,0.6293518137580913
1962,liberation,0.5204210953247359
1962,new,0.375183483158711
1962,south africa,0.33234646738727536
1962,south,0.2861142387937008
1962,issues,0.7167800327754528
1962,conference,0.6972993507916244
1962,given,0.571882573026277
1962,south african,0.4611351217671958
1962,political,0.4577539939293892
1962,african,0.39259329359546274
1962,south,0.3108641327126016
1962,liberation,0.4832115573951009
1962,region,0.4658604763242898
1962,still,0.4471139948346168
1962,conference,0.4433318347827965
1962,work,0.39118610313999724
1962,others,0.7726462972759799
1962,years,0.6348367501222012
1962,history,0.8079811613705375
1962,country,0.5892083187382179
1962,million,0.5297419877609176
1962,even,0.4696315011199899
1962,two,0.44786987235249653
1962,today,0.4055276860370209
1962,african,0.3657588725585678
1962,congress,0.857576433110698
1962,national,0.31361695919471955
1962,african,0.30626084329677056
1962,government,0.26909358993060606
1962,organisations,1.0
1962,general,0.5663253551330292
1962,white,0.5293337170530724
1962,every,0.5076516420724387
1962,country,0.3759936414693508
1962,areas,0.9380898522497713
1962,african,0.3463920165159735
1962,go,1.0
1962,look,1.0
1962,labour,0.5293802571695279
1962,organisation,0.4752211184640445
1962,international,0.4531262952951565
1962,south africa,0.3307808062922472
1962,africa,0.3131934905656834
1962,south,0.2847663745123847
1962,governments,0.5392759751413513
1962,region,0.5148005889628439
1962,african,0.37074672309508816
1962,south africa,0.3410017881026177
1962,africa,0.3228710320351545
1962,south,0.29356553056596996
1962,common,0.6312159054744665
1962,needs,0.5625556722627294
1962,need,0.5339453120695772
1962,southern,0.5939538878236627
1962,year,0.5044506873061125
1962,south africa,0.38587869073422787
1962,africa,0.3653618704199925
1962,south,0.33219967323281563
1962,another,0.6247507156807653
1962,african,0.4343702125113464
1962,south africa,0.39952077776529255
1962,africa,0.37827862004567997
1962,south,0.3439440295882036
1962,situation,1.0
1962,government,1.0
1962,set,1.0
1962,south africa,0.5073768534836195
1962,africa,0.4804000859541183
1962,south,0.4367964051408086
1962,situation,0.4017772167551636
1962,today,0.30580667415277435
1962,country,0.2570033707181622
1962,working,0.5119626241459855
1962,continue,0.4831811839131205
1962,public,0.445244453880257
1962,life,0.4436054874854597
1962,country,0.33075937288538154
1962,conference,0.6342060875222811
1962,situation,0.3495663588096152
1962,various,0.343293422925401
1962,continent,0.33094554010799715
1962,organisation,0.31710304376114057
1962,leaders,0.3001140247958658
1962,african,0.23997480358425663
1962,past,0.7165290668374261
1962,country,0.5143481575534993
1962,people,0.47120278988818404
1962,whole,0.5784299108907053
1962,year,0.5114941947259288
1962,south africa,0.39126660969187654
1962,africa,0.37046331860903925
1962,south,0.33683808670345877
1962,south africa,0.5307306470274523
1962,government,0.506998541586912
1962,africa,0.5025121794577575
1962,south,0.4569014867902933
1962,take,0.8154065434555352
1962,people,0.5788887361919355
1962,elected,1.0
1962,going,1.0
1962,white,0.8419685202667898
1962,going,0.464802899331026
1962,people,0.27394757829414046
1962,making,0.7081142665930793
1962,going,0.7060978582656552
1962,right,0.7383287361455145
1962,two,0.6744410110467536
1962,cannot,0.6042525141736279
1962,political,0.5286687266847023
1962,african,0.4534134041047443
1962,people,0.3870459423874289
1962,africans,0.7306671009960115
1962,parliament,0.41019295611680073
1962,mandela,0.3875027595263817
1962,white,0.38432920476290106
1962,going,1.0
1962,white,0.7637456884224253
1962,today,0.6455172526092201
1962,make,1.0
1962,mandela,1.0
1962,forward,0.7521506755101898
1962,within,0.6589911693866354
1962,point,0.4296752711215228
1962,parliament,0.41297878460447557
1962,cannot,0.39309768387218585
1962,white,0.38693937939244555
1962,africans,0.3678147160014693
1962,political,0.34392649946955606
1962,african,0.2949689985716196
1962,minister,0.6421066818712989
1962,parliament,0.6381977705396492
1962,country,0.42473828974375716
1962,white,1.0
1962,white,0.8381634749725031
1962,people,0.5454190950287845
1962,parliament,0.6564193584892271
1962,white,0.6150303808905542
1962,country,0.43686526113003266
1962,mandela,1.0
1962,going,1.0
1962,go,0.7252914644702839
1962,mandela,0.6884419304244555
1962,point,1.0
1962,african,0.5604355830840211
1962,right,0.37562845666810585
1962,past,0.3637389674069511
1962,south african,0.32914027705529075
1962,work,0.3267269597850074
1962,democratic,0.30162239916347144
1962,people,0.23920148416266623
1962,south,0.221882701919273
1962,black,0.7226522335731957
1962,white,0.6912117977231519
1962,needs,0.7253100470363648
1962,need,0.6884223526790122
1962,action,0.6145845501709312
1962,national,0.45480491221820557
1962,african,0.4441371292838126
1962,address,0.3065961085236723
1962,conference,0.2934417143793668
1962,government,0.1951187315589082
1962,social,0.5565129293354539
1962,conference,0.5507404471187237
1962,political,0.48596106222668556
1962,country,0.38835572017089137
1962,conference,0.8327164501877318
1962,government,0.5536996600926741
1962,take,0.488948185373487
1962,first,0.4514908568629627
1962,african,0.4066451358083744
1962,country,0.37890739477704655
1962,government,0.3572954291008059
1962,people,0.3471232839200693
1962,call,0.6657270322276458
1962,conference,0.6213691531535935
1962,government,0.4131681184101176
1962,conference,0.8327164501877318
1962,government,0.5536996600926741
1962,action,0.72321768045355
1962,conference,0.6906201464476598
1962,action,1.0
1962,years,0.4833990369294369
1962,world,0.45696194125539025
1962,south africa,0.39627889883270556
1962,government,0.3785589260675517
1962,africa,0.37520910887824177
1962,south,0.3411531236689973
1962,organisations,0.7567873856278211
1962,political,0.6536611147640707
1962,mandela,1.0
1962,minister,0.6120138446491631
1962,mandela,0.5746401162983614
1962,place,0.5433486824299437
1962,mandela,1.0
1962,mandela,1.0
1962,given,0.7188583726939607
1962,minister,0.6951565579118063
1962,mandela,1.0
1962,things,0.7338081058855722
1962,mandela,0.6793568014943465
1962,mandela,1.0
1962,rights,1.0
1962,right,1.0
1962,mandela,0.7080868608242735
1962,question,0.7061253412305963
1962,majority,0.5578130904993198
1962,minister,0.5394211748504433
1962,issues,0.5201470259240257
1962,country,0.3568142704726873
1962,minister,1.0
1962,general,0.7277556880861944
1962,mandela,0.6858364662645094
1962,mandela,1.0
1962,indeed,1.0
1962,mandela,1.0
1962,another,0.736083695101882
1962,mandela,0.6768905331035142
1962,mandela,1.0
1962,mandela,1.0
1962,minister,1.0
1962,minister,1.0
1962,minister,0.5964003818332242
1962,issues,0.5750902992573725
1962,mandela,0.5599801177267368
1962,whole,0.7078469029462062
1962,taken,0.7063658839365505
1962,south africans,0.6613957363245587
1962,africans,0.6331676685325625
1962,south,0.40206266115710604
1962,minister,1.0
1962,minister,1.0
1962,minister,1.0
1962,racial,0.5485946239679733
1962,national,0.4091650115257827
1962,non racial,0.2923092796945824
1962,conference,0.2639946913954481
1962,non,0.26278666137785633
1962,constitution,0.24159556845806324
1962,democratic,0.2150444864668628
1962,new,0.20743995393988515
1962,african,0.1997838729754653
1962,south africa,0.18375525304704302
1962,government,0.17553846913793514
1962,africa,0.17398515275622478
1962,south,0.15819332988015244
1962,call,0.5666003555000497
1962,conference,0.5288473593982002
1962,white,0.5250034186675542
1962,government,0.3516474342180658
1962,government,0.6887113989572188
1962,co,0.5100507360347565
1962,african,0.39191816848392763
1962,people,0.3345519463835138
1962,general,0.4853280092244047
1962,task,0.4672896462266351
1962,conference,0.45694835372932674
1962,national,0.3541118145824412
1962,african,0.34580586213780906
1962,government,0.3038394979260887
1962,country,1.0
1962,co,0.6354533180090927
1962,african,0.4882763281302032
1962,government,0.4290200098723377
1962,people,0.41680587705556654
1962,two,1.0
1962,mandela,1.0
1962,different,0.5950609072490184
1962,black,0.5807815850968276
1962,white,0.5555135165559807
1962,mandela,1.0
1962,mandela,1.0
1962,mandela,0.7080868608242735
1962,question,0.7061253412305963
1962,national,1.0
1962,parliament,0.8325893674078075
1962,mandela,0.39326696450021703
1962,white,0.390046202278976
1962,education,1.0
1962,mandela,1.0
1962,mandela,1.0
1962,example,0.7324729270895662
1962,mandela,0.6807961597136422
1962,mandela,0.7080868608242735
1962,question,0.7061253412305963
1962,another,0.7388499747025474
1962,state,0.6738699539837378
1962,act,0.6144713896031785
1962,areas,0.5643815383710143
1962,mandela,0.5512697982885569
1962,various,0.4981429353859271
1962,areas,0.47152063765092855
1962,mandela,0.4605662466511129
1962,set,0.4605662466511129
1962,country,0.32446782442295613
1962,congress,0.47882270081205985
1962,areas,0.4630948296573407
1962,mandela,0.4523361874495842
1962,south african,0.40170634202342315
1962,african,0.3419978406085921
1962,south,0.2708015237262862
1962,congress,0.540243687529453
1962,mandela,0.5103596164015086
1962,south african,0.4532352270488589
1962,african,0.3858676170201377
1962,south,0.30553859188039306
1962,congress,0.628218763685366
1962,south african,0.5270415565563963
1962,african,0.44870358119157766
1962,south,0.35529351083589233
1962,congress,0.7269261864494558
1962,mandela,0.6867156030366945
1962,mandela,1.0
1962,youth,0.5927550464863957
1962,congress,0.585453847584492
1962,mandela,0.553068935317674
1962,cape,0.7256971686685455
1962,mandela,0.6880142581272983
1962,areas,0.7209613879084259
1962,go,0.37095280914924256
1962,mandela,0.3521059884712629
1962,white,0.3492223247824448
1962,community,0.3109241568062242
1962,mandela,0.7080868608242735
1962,question,0.7061253412305963
1962,mandela,1.0
1962,south africa,0.6157347276703297
1962,africa,0.5829966701610911
1962,south,0.5300807747144061
1962,responsibility,0.5726251222743795
1962,government,0.36923823008344214
1962,majority,0.306075644220178
1962,action,0.2907564406152765
1962,question,0.2771392373558868
