term,score
world,28.95768409610556
people,28.275087893891747
freedom,26.206327167496454
peace,23.28002457737371
south,21.897255796554298
crime,21.873388561766877
support,19.60907111597794
hope,17.434896112968687
africa,16.88487343102115
honour,15.994746220464052
democracy,15.553654220304356
today,13.73728718234135
struggle,13.582877520265185
thank,13.47659408500783
country,13.433769555218772
problems,13.246845585026449
south africa,13.17276482134722
society,12.708711948288013
life,12.658643018437603
nation,11.937727857359882
poverty,11.84786903151274
government,11.301055892612089
apartheid,10.914776785005147
nations,10.45041484751612
commitment,10.33447974894536
progress,10.285593955675441
achievement,10.173504600575374
friends,10.073733479030132
special,9.850790672115847
together,9.687566117056205
human,9.17268148140403
justice,9.105087825516769
free,8.972452519175564
south africans,8.653141433002897
community,8.600147844278721
poor,8.504064697187696
africans,8.442787123876055
international,8.36165729933952
powerful,8.353295096318078
development,8.323862518248061
long,8.249257287941834
peaceful,8.243882897573991
take,8.199451202523996
still,8.192885151317501
help,8.127066742875177
good,8.11212774214236
proud,7.994602456223406
bring,7.887086205504382
achieved,7.861211905389693
even,7.760309587209181
suffering,7.698217136013666
join,7.532000904951501
rights,7.480310599111673
women,7.382424302251038
time,7.366004594729875
men,7.100454282174741
award,7.0453049604581155
leaders,7.026255154660948
president,6.91678730360101
future,6.897974556577849
political,6.896150541435131
fight,6.890286447696358
first,6.887986260906629
years,6.824439434388323
parties,6.769978532853179
strength,6.736923351841762
need,6.6792575448225255
shared,6.643306526130126
countries,6.619609401990088
democratic,6.558561821502792
communities,6.509272877578883
opportunity,6.497595816689739
become,6.471170682780207
security,6.462137767688828
difficult,6.422855385433457
gentlemen,6.416307407283558
millions,6.375878642474235
efforts,6.3164505435953755
continue,6.276135969825032
oppression,6.159107980076887
share,6.1287815679952296
make,6.102296453255619
success,6.058772598815983
public,5.844579967766501
towards,5.808824101557564
amongst,5.765703422498406
violence,5.746463893262835
past,5.719294317587909
lives,5.660416419342725
pride,5.6322755786055305
critical,5.5332310156339535
right,5.5237566418786725
conflict,5.495365743678814
others,5.4460505312590355
indeed,5.409961905987551
challenges,5.378222861626386
work,5.371042108206004
matter,5.349303448232382
place,5.248607046242165
human rights,5.164197794959477
welcome,5.161170306753296
create,5.076429387530659
process,5.0642151391466905
celebrate,5.044236690611096
build,5.012174659615889
therefore,4.958231654519427
police,4.858636825663946
respect,4.811357165191589
able,4.770179500381416
contribution,4.756520335402984
peoples,4.727054056781301
cannot,4.706112890730368
pleasure,4.628658466836077
united,4.576734000678203
new,4.556745412730342
enjoy,4.5028129939182655
hand,4.46835435654396
die,4.432921635235865
ensure,4.4250375273307965
dignity,4.37586689220663
common,4.347245244474252
strong,4.337350390340279
problem,4.306111515025252
face,4.257157156665591
accept,4.242385112855585
prosperity,4.190081451231164
two,4.115214908455624
national,4.078492823158239
growth,4.025298415005631
confidence,3.9359305506718663
economic,3.9277756744890056
system,3.920160720030978
children,3.8194001241456315
year,3.7503479272235314
spirit,3.74850075931876
victory,3.747803360666044
humanity,3.6897491413639054
history,3.681269820624104
social,3.6681920207505927
continent,3.66104729497751
war,3.6450388199974255
region,3.4932029433956693
live,3.4734553897041165
whose,3.4180432491681887
every,3.4148543806896576
hands,3.4115165507503162
greater,3.3649037975231946
leadership,3.3324257097733705
racial,3.288209816462874
among,3.284346503207892
health,3.2346157080993354
fear,3.1749910511097394
privilege,3.169273965866816
within,3.1179466049418654
forces,3.072590143858422
importance,3.028672119448947
order,2.8749270507947684
always,2.842398067282519
committed,2.7912691834501744
co,2.7897943506085605
greatest,2.761523885042181
honoured,2.761355927514047
vision,2.691640764437042
non,2.6506016948582323
death,2.6053292781332242
state,2.55472271858143
find,2.4887269336161357
occasion,2.4742532095023977
care,2.465975822030194
building,2.3898599086487025
play,2.355876236295593
force,2.22463341069674
prison,2.1307142027132557
role,2.05634246454911
stability,2.0555414806217893
land,2.0405124174395652
opportunities,1.8816537097678796
movement,1.8767335388866966
action,1.8399078417611903
young,1.8335175021368137
conditions,1.8327341865173716
challenge,1.8179312876894538
end,1.8005767223281524
business,1.7526275713101707
south african,1.620095926200353
address,1.5332965009949173
resources,1.516921441725187
african,1.4364089986036976
want,1.3185212081001507
education,1.2403777839402592
en,1.2241075711696867
white,1.0183327793160886
anc,0.9950094430404384
dear,0.921111195243355
van,0.8917431385379614
clear,0.8398579877267776
power,0.5158816927002662
van die,0.4859228590820452
racism,0.43721846948459464
