term,score
world,25.15318932904835
mandela,12.435969867094101
africa,11.608809303913091
people,11.567445562538387
society,11.442606655854286
south,11.205964483710373
country,10.163961690878242
en,9.966676224787708
education,9.36682261030319
time,8.056511833392708
life,7.891749660487227
president,7.697080872579123
national,7.633184364992664
development,7.571496077513505
always,7.473252782474893
political,7.464837689022074
south africa,7.458007757521809
example,7.344537146307919
international,7.128949872426703
african,7.046880420997139
years,6.920459659311422
countries,6.548939821872413
role,6.506352348453438
process,6.39138631567211
children,6.384482333812082
social,6.356656733156963
even,6.324367312576116
responsibility,6.255787640386101
leaders,6.2205320690433155
democracy,6.15155046617982
fact,6.093929492064538
leadership,6.076334556714937
institutions,6.018465877709289
today,5.455526568382005
nation,5.2954088385017135
make,5.269960443782159
continue,5.123205534645971
long,4.957156157627235
first,4.78246359528851
economy,4.760187453430236
partnership,4.742365289449384
major,4.5599392150296
government,4.540373477392563
towards,4.491383898428056
state,4.367606610380063
needs,4.3647906585134
end,4.198409952573492
young,4.143383751576837
making,3.993301641872846
africans,3.981388469988272
still,3.962577384730601
different,3.9252978008580346
women,3.885892398582322
new,3.848153454899199
past,3.7082963213230693
south african,3.6745500697023377
approach,3.6569869974307654
liberation,3.5308234676759698
continent,3.512889459565135
south africans,3.4855294082804225
community,3.473946279974981
democratic,3.472578054961059
look,3.4590279052341564
conference,3.4416470919445765
place,3.380734347714498
contribution,3.364462790760853
another,3.3036183291341747
future,3.270312610603535
human,3.2345894728852924
co,3.228769399783331
order,3.169895043096158
two,3.078953074190089
apartheid,3.03005881440011
change,2.876859223830286
level,2.8676447597129053
lives,2.865888901548376
address,2.854212198929684
policy,2.8356293600561324
within,2.834561345894116
various,2.831052851838654
every,2.8279025949657424
youth,2.8251211073112126
back,2.805353566963658
sector,2.7808685064795857
amongst,2.7518435989413335
possible,2.7460565506132575
need,2.737099110574194
things,2.730250714475104
business,2.7128630820226043
economic,2.7104554990917116
negotiations,2.6755503674015992
forward,2.6616248938646176
elected,2.6487527609609525
become,2.6384751854729154
cannot,2.6059603105543805
together,2.5986777433120087
issues,2.5211194036282265
non,2.507659409262698
work,2.4875105672912756
movement,2.453493893887512
building,2.412672477572512
set,2.350762537461442
constitutional,2.347493895435685
meeting,2.288005803712292
trade,2.273675352362353
organisations,2.259858553836512
situation,2.2198652762320044
region,2.1931175917123595
go,2.1771107506789074
service,2.0539401941062865
history,2.05194529115701
unity,2.002096452836086
indeed,2.0
investment,1.9856681895233212
take,1.964723634669038
point,1.9089102182978261
public,1.8992462277491395
year,1.8943573341466506
efforts,1.8759223774899452
co operation,1.8689284561279755
others,1.8463209587848417
operation,1.8195686161364915
therefore,1.7896881400893019
power,1.7870699150591491
including,1.7358141475230666
general,1.7287044988204603
question,1.66639778489243
ons,1.634185485934827
bring,1.592377082517416
particular,1.4882961583252774
common,1.4728297556820282
programme,1.402853895739996
able,1.3491451723130345
reconstruction,1.2495334777788536
build,1.217902331569796
whole,1.1835846860715207
programmes,1.1457247382338238
taken,1.131734835106136
local,1.126172761318189
given,1.1159007796839453
cape,1.1150194051344398
racial,1.0933318317689507
communities,1.0900838390109442
areas,1.0582375579830225
basis,1.0553168570608218
services,1.0498724419602845
working,1.0405528266198796
already,1.027161375154602
rights,1.0
minister,1.0
resources,0.9643296248077552
far,0.9101014941068502
nations,0.8754502547951544
call,0.8551819024022923
black,0.827280942523856
right,0.7311954595732203
matter,0.7026625020565738
land,0.685342813065223
across,0.6628704093470583
non racial,0.6289907898611351
days,0.6281264196650561
reconstruction development,0.619139362026495
going,0.6106762317997225
task,0.578256402709011
organisation,0.5467965713899241
project,0.5390383240563804
relations,0.500150750609866
live,0.49550836253180897
system,0.4558117173167371
transformation,0.4514440089499415
structures,0.44785071981120966
parliament,0.4470066583989569
private,0.44027603751678435
constitution,0.434064338651969
majority,0.4330759495926315
governments,0.42371965462007616
south africas,0.3460515480472087
southern,0.3387391151334873
africas,0.33223531533506195
white,0.329622952192696
