year,term,score
2007,education,0.4458951726538188
2007,lives,0.4150583903510477
2007,thank,0.37553186124304355
2007,ensure,0.36876821670673304
2007,life,0.35042355023434973
2007,south africa,0.2980630387972455
2007,africa,0.2781180474707805
2007,south,0.2508026378582102
2007,special,0.736872447213716
2007,time,0.676031801424511
2007,live,0.36021742247111677
2007,opportunities,0.3485395301491099
2007,public,0.3410587971790877
2007,health,0.33941435507649736
2007,able,0.33860711463050913
2007,children,0.30898229985095527
2007,good,0.30898229985095527
2007,work,0.29875314371358797
2007,society,0.2926468182289656
2007,people,0.19170261992837484
2007,hope,0.5983288159695904
2007,new,0.5688211032939358
2007,today,0.5643094722117445
2007,violence,0.7229308262712072
2007,non,0.4316934038654157
2007,human,0.3511131519375928
2007,world,0.30026686055933194
2007,peace,0.27851605424501524
2007,create,0.62748986069589
2007,world,0.4491892151928132
2007,peaceful,0.3183517588254944
2007,able,0.3141159804580861
2007,hope,0.2705536999752295
2007,new,0.2572108345989944
2007,today,0.2551707548809015
2007,friends,0.6586977833382083
2007,president,0.5914547247635952
2007,freedom,0.4650790672349713
2007,nation,1.0
2007,building,0.5472470904584285
2007,role,0.5234124557046833
2007,anc,0.4799880195562346
2007,support,0.44291254698920135
2007,life,0.766521600335903
2007,freedom,0.6422185268415153
2007,organisation,0.7871553977504997
2007,spirit,0.38711248315803803
2007,movement,0.38117663778265004
2007,life,0.2919497833261479
2007,making,0.4848368125105706
2007,south african,0.4250583963906054
2007,society,0.39747507916700237
2007,african,0.36518583388683445
2007,life,0.36404566892483514
2007,country,0.3041296010337731
2007,south,0.260552163249716
2007,interest,0.5014586307313481
2007,efforts,0.4739449562591297
2007,leaders,0.4466045487141982
2007,help,0.4359315674490691
2007,government,0.3666380581319378
2007,live,0.4578991967202818
2007,peaceful,0.43623295248698496
2007,place,0.4221749228374585
2007,help,0.38831381876675025
2007,make,0.37865346562591035
2007,nation,0.35725537428968857
2007,force,0.5085010163150483
2007,building,0.4910054773026368
2007,good,0.44208587296601426
2007,commitment,0.4300083355231535
2007,world,0.3464004185474623
2007,end,1.0
2007,conflict,0.6622054364428
2007,hope,0.5426260371626129
2007,support,0.5167600446423847
2007,together,0.9496996483664493
2007,anc,0.3131622229654186
2007,country,1.0
2007,first,0.6721943620417344
2007,african,0.5682442863906018
2007,peace,0.47460843926729895
2007,continue,0.81876041394935
2007,growth,0.38451665903788923
2007,democracy,0.3268800396982488
2007,freedom,0.27372936108262114
2007,even,0.7364232592251714
2007,hope,0.6765210885642634
2007,proud,0.4618916834995038
2007,every,0.45504223609523026
2007,build,0.4354843169905285
2007,human,0.3861794239763223
2007,nation,0.3833695958819935
2007,freedom,0.3063319297581181
2007,hope,1.0
2007,still,0.6237483113646608
2007,help,0.5613798952632177
2007,justice,0.5438663965203154
2007,friends,0.816900123728603
2007,freedom,0.5767791499804696
2007,live,0.4578991967202818
2007,peaceful,0.43623295248698496
2007,place,0.4221749228374585
2007,help,0.38831381876675025
2007,make,0.37865346562591035
2007,nation,0.35725537428968857
2007,force,0.5085010163150483
2007,building,0.4910054773026368
2007,good,0.44208587296601426
2007,commitment,0.4300083355231535
2007,world,0.3464004185474623
2007,end,1.0
2007,friends,1.0
2007,conflict,0.6622054364428
2007,hope,0.5426260371626129
2007,support,0.5167600446423847
2007,conflict,0.5249054801240977
2007,others,0.49475079460100446
2007,hope,0.43011936310082016
2007,new,0.40890721646193984
2007,world,0.35705477169260474
2007,past,1.0
2007,continent,0.4985471137549275
2007,welcome,0.4640768946664937
2007,international,0.4347775436262822
2007,distinguished,0.4319386134324957
2007,today,0.40060071516117485
2007,making,0.3293962934503381
2007,stability,0.3293962934503381
2007,human rights,0.3207651530284532
2007,continent,0.31587892439305726
2007,towards,0.3147157476308377
2007,still,0.31319832063574804
2007,respect,0.2982980252358564
2007,rights,0.28853172351168355
2007,human,0.2612367578390102
2007,democracy,0.24745967593767793
2007,peace,0.20722274462112392
2007,africa,0.19629754840909663
2007,general,0.4499088578771258
2007,two,0.4241382307810572
2007,nations,0.386616185249844
2007,distinguished,0.3732477402441181
2007,united,0.36678760319222026
2007,african,0.33837460037680317
2007,peace,0.28261690406534046
2007,opportunities,0.5909173937731688
2007,struggle,0.5162654181138258
2007,apartheid,0.4892110205912312
2007,freedom,0.3807351167520124
2007,communities,0.4231143157701428
2007,others,0.41820049720190966
2007,efforts,0.4140137631226355
