term,score
friends,4.5264831985896965
children,2.594257619407771
years,2.557919254459014
thank,2.3114591130583344
celebrate,2.2162769050601914
human,1.9418758115464654
country,1.7804726627597423
president,1.3109005314785582
poverty,1.1735897594897908
world,1.123147473505239
still,1.0816010033574663
anc,1.0369767365157474
society,1.001771914077798
today,0.9950580183573002
violence,0.9148523065352174
leadership,0.8913683901529594
freedom,0.7638705428795738
distinguished guests,0.6582579681010536
guests,0.6300290738066605
proud,0.6299496531891493
progress,0.6189029556982566
organisation,0.6180150216957925
government,0.5964899145720131
distinguished,0.5964399384588157
south africa,0.5881541731388489
honoured,0.5868375300080774
success,0.5837393663987359
make,0.5741510547848105
including,0.5638671538546514
africa,0.5486904175642866
support,0.5438403057883487
citizens,0.5354267999560566
conflict,0.5101358975617248
communities,0.5089406803843171
africans,0.4976092227011307
south,0.49502619693286304
national,0.49270862157294915
human rights,0.4760410839151621
privilege,0.47457184244048095
work,0.4693950938097525
continue,0.4593227535803964
able,0.458555247614228
first,0.4558482033961442
year,0.45124962819419295
rights,0.4279891121243589
making,0.42542281051621866
good,0.4187675556258957
others,0.3992007272008383
place,0.3956368598995793
long,0.39348814579019425
lives,0.3777713806596784
democracy,0.36709897769490707
community,0.3501566862632431
peace,0.3375634869262378
honourable,0.32531321605972224
ladies gentlemen,0.31665106390844555
gentlemen,0.3159913654120734
ladies,0.3146898793590692
region,0.31093299458912965
special,0.3088854961373087
state,0.30855071458457817
african,0.22162252249650968
people,0.20655895004926364
