term,score
government,1.5470260342314266
international,1.2126520114600958
world,1.0674225332813667
development,0.951243111063721
yet,0.8371155940926188
social,0.6965292056284652
leadership,0.6273758752688965
african,0.6192462052120735
situation,0.5859480710134928
point,0.5851021902155751
place,0.5770166830826166
bring,0.5606427428233635
first,0.5229256721322079
continent,0.5163637715223686
reconstruction development,0.4988786960073844
matter,0.4819531434379232
reconstruction,0.46951474462943366
need,0.46948995979905944
economy,0.46269069682215197
work,0.46103980581193277
together,0.46103980581193277
people,0.44187955658569344
community,0.42765052390538444
region,0.4263535707713797
new,0.42269821882041064
problems,0.419478131241832
society,0.40946129035284984
take,0.36423055105491947
process,0.35514922653587555
country,0.33864207032188565
