term,score,date
people,6.1478782570647255,1961
freedom,5.67932309735393,1961
government,5.3075607913240015,1961
country,4.122602574157184,1961
political,3.737163561042423,1961
africans,3.6453137858001297,1961
action,3.4628971592821842,1961
even,3.3980037292681056,1961
support,2.411318769697642,1961
african,2.2786327830869557,1961
national,2.173396175005483,1961
work,2.045054526013866,1961
powerful,1.844738661074315,1961
non,1.7605630753839365,1961
future,1.6806327284860758,1961
continue,1.6437936498411818,1961
difficult,1.589949527345107,1961
forces,1.5092634337061384,1961
cannot,1.4881730618664784,1961
time,1.476384955417333,1961
success,1.4317832118260412,1961
fight,1.392862634888311,1961
strong,1.3446898250181656,1961
peaceful,1.335550690920685,1961
violence,1.28004970487092,1961
face,1.202128671615681,1961
africa,1.1376992451249184,1961
live,1.1352435237534273,1961
death,1.1068639163467606,1961
south,1.101959848596173,1961
life,1.0815579623209888,1961
confidence,1.0616983029641818,1961
matter,1.0582939889561793,1961
committed,1.0,1961
role,1.0,1961
long,1.0,1961
want,1.0,1961
need,1.0,1961
efforts,1.0,1961
years,0.9727237848385792,1961
south africa,0.9590347589553236,1961
struggle,0.9432717331567588,1961
poverty,0.9287147428506226,1961
millions,0.8615738801243881,1961
two,0.7551522036146002,1961
strength,0.7151231657541667,1961
every,0.7128604530477793,1961
build,0.6989984676676614,1961
whose,0.69831465209431,1961
world,0.6732026887858411,1961
