term,score,date
anc,6.59016300868686,1964
organisation,4.745514714112763,1964
government,4.173803377031913,1964
national,3.251050617125868,1964
political,3.218036315729511,1964
organisations,2.694217050508615,1964
time,2.6929350115282946,1964
people,2.5739447585119035,1964
policy,2.1354252142030927,1964
south africa,2.044487068002166,1964
first,1.9835049510249871,1964
liberation,1.9785900639576528,1964
africa,1.9357012218071212,1964
always,1.861428783018793,1964
change,1.8209132659364133,1964
two,1.81947475786539,1964
south,1.7599013130078118,1964
taken,1.7434250694965074,1964
african,1.6605764774973713,1964
new,1.6178404214399327,1964
far,1.5305833385957817,1964
order,1.493081944025818,1964
co,1.380665672867092,1964
already,1.3726799003895072,1964
set,1.2416263347150993,1964
leaders,1.2138015371773456,1964
action,1.1644651014152978,1964
years,1.160083463882389,1964
fact,1.1487665419046784,1964
place,1.0324139556346275,1964
still,1.0,1964
things,1.0,1964
particular,1.0,1964
various,0.9954342824256046,1964
constitutional,0.9789295330842414,1964
africans,0.8511659402300693,1964
conference,0.8248503593708476,1964
white,0.8244555215593459,1964
apartheid,0.8053245832047852,1964
want,0.7970489299474853,1964
work,0.7925107553575585,1964
nation,0.7429898232272834,1964
days,0.7176931396493608,1964
youth,0.696359502915156,1964
trade,0.6766449304243773,1964
call,0.6742714314105112,1964
power,0.6494756680420901,1964
partnership,0.6189551494162996,1964
future,0.6098694701284779,1964
others,0.603949491921284,1964
