term,score,date
people,62.49847113961509,1990
anc,59.865792825383764,1990
apartheid,39.14550847151329,1990
country,39.098963451333226,1990
government,38.60652373732166,1990
south,34.796504078398804,1990
democratic,28.69308435951607,1990
system,28.3159552400431,1990
africa,27.546562328113723,1990
white,26.46780780091618,1990
south africa,24.507587698019698,1990
president,24.380460402514547,1990
political,24.219964829910225,1990
process,22.6147151723047,1990
black,20.67188440392251,1990
today,20.50099940157267,1990
negotiations,19.186695315371857,1990
new,18.918088851444878,1990
rights,17.797620495141192,1990
future,17.661481505190636,1990
african,17.244051806954957,1990
economic,16.887354889064525,1990
place,16.858650724247905,1990
power,16.757429627763845,1990
therefore,16.550748154365447,1990
need,16.117116111002776,1990
make,16.082540294269943,1990
still,16.054595041962465,1990
time,15.93403976720449,1990
movement,15.850305745839572,1990
take,15.553828619048415,1990
racial,15.506396355341138,1990
national,15.452647247694355,1990
every,15.30789167286741,1990
together,15.08853704099052,1990
economy,14.413528556728105,1990
vote,14.138125832941405,1990
continue,14.039658059192304,1990
organisation,13.88554513267276,1990
south african,13.652138945121301,1990
question,13.456597795510088,1990
cannot,13.272028987561843,1990
meeting,13.157052193404228,1990
end,13.093779365335912,1990
leaders,12.534926310601945,1990
non,12.438989257024621,1990
right,12.175437345263962,1990
years,12.077288732743165,1990
work,11.762704016980612,1990
human,11.619498632983237,1990
