term,score,date
south,43.37744311774985,1995
die,41.51569671006328,1995
people,37.35580356709605,1995
africa,33.16567811701709,1995
country,31.977612604696375,1995
government,29.81625461900211,1995
south africa,29.317441631817037,1995
freedom,27.880558026148396,1995
peace,23.239374914348,1995
success,22.244209381523234,1995
share,20.220024796499644,1995
development,20.216652895512873,1995
life,20.20871278751737,1995
van,20.16349139776873,1995
ensure,19.670641673112467,1995
world,19.617549238544928,1995
economic,19.49623868204112,1995
nation,19.086799249250024,1995
democracy,18.630278373565016,1995
confidence,17.071317995439923,1995
opportunity,16.957738213642262,1995
community,16.822464482704518,1995
welcome,16.6674742098422,1995
support,16.591237413285512,1995
year,16.447672177574212,1995
honour,16.39173621625329,1995
national,15.682466492683409,1995
commitment,15.518957813421157,1995
crime,15.328033977904552,1995
en,15.20111848182153,1995
thank,15.190138381150671,1995
communities,15.06124697084805,1995
good,14.963211874423004,1995
apartheid,14.671780535155639,1995
new,14.485670167586228,1995
violence,14.436522259819627,1995
free,14.129587414632404,1995
distinguished,13.936843909502029,1995
countries,13.817786173029535,1995
make,13.784829799514542,1995
take,13.67624185601858,1995
african,13.568955626840744,1995
africans,13.21252660092297,1995
first,13.20696368766773,1995
health,12.961937881636016,1995
anc,12.9261708833889,1995
security,12.885273025155863,1995
south africans,12.75500314244965,1995
united,12.693817430820745,1995
help,12.675163142740622,1995
