term,score,date
south,54.084769149767126,1997
freedom,53.73081875529711,1997
people,52.19633605260983,1997
peace,43.837165784898374,1997
africa,43.78838267738171,1997
development,38.888557621067655,1997
die,35.317684095879855,1997
government,35.118947782094324,1997
success,33.68719154643335,1997
new,33.44572851469333,1997
south africa,32.91506956949744,1997
country,32.06618330428047,1997
support,30.91986920814117,1997
growth,29.542905042881994,1997
today,28.617280181435003,1997
nation,28.0804547384424,1997
life,27.371327508037904,1997
crime,26.247995801153543,1997
world,26.16808062576305,1997
violence,26.058360235569666,1997
good,25.838890222268258,1997
economic,25.044603463419197,1997
thank,23.976512901443808,1997
ensure,23.96177887314283,1997
prosperity,23.93837810482174,1997
democracy,23.429190932668973,1997
help,23.34338704593031,1997
opportunity,22.96301799051332,1997
commitment,21.428764277850856,1997
honour,21.408654921992103,1997
justice,21.207566396209806,1997
region,21.106022002821053,1997
national,21.04158565696638,1997
children,20.96486258969313,1997
countries,20.918825621905984,1997
struggle,20.848254980610665,1997
free,20.526013125534504,1997
apartheid,20.460251861027995,1997
community,20.143665644071827,1997
challenges,19.957045982546816,1997
work,19.742198787341643,1997
opportunities,19.68154938996979,1997
society,19.492843223518236,1997
strength,19.395792638363755,1997
african,18.959003955411955,1997
co,18.751674081952565,1997
take,18.723505275339747,1997
join,18.6909722689324,1997
progress,18.574696776942673,1997
make,18.510449783309753,1997
