term,score,date
world,19.81946075039234,2002
people,18.350374648410618,2002
honour,16.086509742102574,2002
children,13.79830199585603,2002
thank,11.928620091086135,2002
freedom,11.242577620194183,2002
president,9.970206376118545,2002
south,9.754925413032703,2002
africa,9.623934024431748,2002
award,9.50378076443795,2002
country,8.907812506588755,2002
war,8.70933132662146,2002
support,8.593376950902272,2002
life,8.517127659720765,2002
leadership,8.06442900137843,2002
poverty,7.720929960429304,2002
work,7.657214766947709,2002
human,7.222982125760001,2002
respect,7.0372147604941455,2002
south africa,6.970892480980925,2002
occasion,6.744077970602629,2002
commitment,6.710358095564633,2002
hope,6.292128521945345,2002
die,6.265184455292937,2002
today,6.209364748581429,2002
time,6.112560533411709,2002
struggle,6.090543592820941,2002
role,5.906175001889928,2002
society,5.846709237233742,2002
nations,5.845791234936111,2002
opportunity,5.799768459933368,2002
history,5.78588546096856,2002
african,5.741126341738502,2002
ladies,5.712742219360355,2002
able,5.703238316532313,2002
democracy,5.700006537967291,2002
build,5.658742717796156,2002
racial,5.632044838626896,2002
education,5.527796387220152,2002
nation,5.460022859175646,2002
join,5.2944140481904505,2002
make,5.288792759382395,2002
united,5.196052130543218,2002
years,5.02845830021847,2002
ladies gentlemen,5.024562796448618,2002
gentlemen,5.014100115934557,2002
spirit,5.013351734546467,2002
guests,4.9712546030990525,2002
guests ladies,4.906182264551639,2002
distinguished guests,4.810708997887958,2002
