term,score,date
make,2.0704315109408395,2009
mandela,2.0,2009
world,1.6818979247464256,2009
challenges,1.4801310670657393,2009
work,1.4246137138140016,2009
within,1.1396543815997242,2009
people,1.0221972944709903,2009
struggle,0.905374615306328,2009
public,0.8205277244702885,2009
role,0.7884431519647155,2009
able,0.7820000767426749,2009
working,0.7745641088652192,2009
south africa,0.769085903887017,2009
become,0.7644461388346503,2009
years,0.7314473461750463,2009
every,0.7271228549472372,2009
past,0.7264349864006396,2009
africa,0.7262547959097072,2009
organisation,0.7250496818135775,2009
live,0.6935233777268678,2009
future,0.6872351930257229,2009
south,0.6622807368725391,2009
political,0.6446875994005116,2009
together,0.6324954080922872,2009
today,0.6232783326688409,2009
anc,0.6151076297038954,2009
countries,0.5935765116536108,2009
leaders,0.5514995726474825,2009
potential,0.5213938282632611,2009
conference,0.49446878748084844,2009
democratic,0.4820459813334162,2009
place,0.4662084273895586,2009
communities,0.4509578164115203,2009
fact,0.4234814031920114,2009
country,0.34466436258325567,2009
