term,combined score,date,score category
education,3.0444727062097563,1953,unique neutral score
africa,2.809030308875146,1953,unique neutral score
given,2.293403775286276,1953,unique neutral score
national,2.032577944708878,1953,unique neutral score
labour,1.8658837156355936,1953,unique neutral score
children,1.8431115486166376,1953,unique neutral score
today,1.8019345812348884,1953,unique neutral score
land,1.6304359640232775,1953,unique neutral score
every,1.618876604455027,1953,unique neutral score
power,1.464475392591637,1953,unique neutral score
different,1.4234343894734864,1953,unique neutral score
right,1.4182238272493306,1953,unique neutral score
provincial,1.378733504678742,1953,unique neutral score
conference,1.240319394328648,1953,unique neutral score
act,1.1569603667545918,1953,unique neutral score
call,1.0789609487735814,1953,unique neutral score
new,1.065958177918486,1953,unique neutral score
continent,1.0,1953,unique neutral score
women,0.9351804707353226,1953,unique neutral score
organisation,0.8855860261300674,1953,unique neutral score
cannot,0.8422520667803253,1953,unique neutral score
trade,0.8175490896913304,1953,unique neutral score
unity,0.7077317371670951,1953,unique neutral score
become,0.6966829422579437,1953,unique neutral score
human,0.6584065099573746,1953,unique neutral score
make,0.6360555771433388,1953,unique neutral score
local,0.5981035967678392,1953,unique neutral score
including,0.5711528500901024,1953,unique neutral score
others,0.5463396061206515,1953,unique neutral score
countries,0.511878735049009,1953,unique neutral score
things,0.5095089338443494,1953,unique neutral score
south africa,0.5052631665136781,1953,unique neutral score
young,0.501502568998945,1953,unique neutral score
place,0.488114293170641,1953,unique neutral score
white,2.7559862402306914,1960,unique high sentiment score
want,2.4961121637490264,1960,unique high sentiment score
policy,1.9357521328526703,1960,unique high sentiment score
question,1.8675378373956824,1960,unique high sentiment score
time,1.5769622479276624,1960,unique high sentiment score
anc,1.5504419402080003,1960,unique high sentiment score
going,1.3468003351237567,1960,unique high sentiment score
matter,1.3413147824993232,1960,unique high sentiment score
campaign,1.262946690728329,1960,unique high sentiment score
use,1.1928815878129655,1960,unique high sentiment score
force,1.147077521211609,1960,unique high sentiment score
already,1.1294586019443629,1960,unique high sentiment score
indeed,1.0,1960,unique high sentiment score
vote,1.0,1960,unique high sentiment score
future,1.0,1960,unique high sentiment score
possible,1.0,1960,unique high sentiment score
democracy,0.8118679236660513,1960,unique high sentiment score
years,0.7691994954285254,1960,unique high sentiment score
remain,0.6479410563593697,1960,unique high sentiment score
far,0.5948036242700135,1960,unique high sentiment score
go,0.5432926109365088,1960,unique high sentiment score
peoples,0.5391323783722745,1960,unique high sentiment score
able,0.5261142232820664,1960,unique high sentiment score
point,0.5131965780152165,1960,unique high sentiment score
experience,0.5041806129925914,1960,unique high sentiment score
youth,0.4640686679075317,1960,unique high sentiment score
minister,0.3545071691470388,1960,unique high sentiment score
racial,0.3343140171480942,1960,unique high sentiment score
set,0.3274798555768648,1960,unique high sentiment score
forward,0.3213952736014243,1960,unique high sentiment score
change,0.3213101243599268,1960,unique high sentiment score
programme,0.3157318982720679,1960,unique high sentiment score
majority,0.3156722546673095,1960,unique high sentiment score
still,0.285529955132378,1960,unique high sentiment score
