term,combined score,date,score category
prison,2.4302120453299536,1985,unique high sentiment score
cannot,1.814486038555614,1985,unique high sentiment score
violence,1.0,1985,unique high sentiment score
men,0.7676245152334734,1985,unique high sentiment score
greatest,0.751821721049529,1985,unique high sentiment score
long,0.7303494739368664,1985,unique high sentiment score
clear,0.6634111925561469,1985,unique high sentiment score
occasion,0.6262886942189321,1985,unique high sentiment score
south african,0.6107483602020013,1985,unique high sentiment score
history,0.6012782225944644,1985,unique high sentiment score
african,0.5415015409205564,1985,unique high sentiment score
hope,0.4962126263278542,1985,unique high sentiment score
south,0.3946962184467804,1985,unique high sentiment score
