term,combined score,date,score category
leadership,12.6216140842821,2002,unique neutral score
youth,10.424489183785663,2002,unique neutral score
president,9.406344034912918,2002,unique neutral score
democratic,8.57844915765573,2002,unique neutral score
years,8.03120489385988,2002,unique neutral score
government,7.992239418416332,2002,unique neutral score
two,7.96650944044373,2002,unique neutral score
different,7.494932513187996,2002,unique neutral score
organisation,7.369606245875534,2002,unique neutral score
history,7.296174397341525,2002,unique neutral score
even,7.244978600101478,2002,unique neutral score
countries,7.1520470811582975,2002,unique neutral score
live,6.593085910683324,2002,unique neutral score
continent,6.541443456182192,2002,unique neutral score
time,6.126619929433659,2002,unique neutral score
year,5.83916979488723,2002,unique neutral score
economy,5.790840769556936,2002,unique neutral score
sector,5.740107766270031,2002,unique neutral score
change,5.36291362135908,2002,unique neutral score
partnership,5.298486853816179,2002,unique neutral score
anc,6.571512686412225,2003,unique high sentiment score
always,6.422598623860544,2003,unique high sentiment score
going,6.025458829390836,2003,unique high sentiment score
struggle,5.587681980772419,2003,unique high sentiment score
want,5.331048112860603,2003,unique high sentiment score
look,5.227835935331644,2003,unique high sentiment score
building,4.436359954441362,2003,unique high sentiment score
set,3.7312498207942832,2003,unique high sentiment score
apartheid,3.698498185319032,2003,unique high sentiment score
continue,3.6690208180651696,2003,unique high sentiment score
campaign,3.5748355719418994,2003,unique high sentiment score
able,3.5347551358114684,2003,unique high sentiment score
project,3.510263696153625,2003,unique high sentiment score
go,3.499838851115791,2003,unique high sentiment score
cape,3.4264920377049912,2003,unique high sentiment score
south african,3.3745311860923164,2003,unique high sentiment score
cannot,3.37374445952058,2003,unique high sentiment score
challenge,3.316318116504715,2003,unique high sentiment score
business,3.303428694223858,2003,unique high sentiment score
right,3.300853902810645,2003,unique high sentiment score
